"code";"nom";"popto";"menag";"tailm";"densi";"mobil";"acmig";"ordin";"porta"
"AN";"Ariana";422246;101327;4.16716176339969;1017.07791769841;21.8498221415952;8.97486299455768;16.3243755366289;59.311930679878
"BA";"Ben Arous";505773;117901;4.28981094307936;769.973099741045;24.0564442941794;7.3034740881779;13.0185494609885;60.5041517883648
"BJ";"Beja";304501;68584;4.43982561530386;81.4173796791444;10.563840512839;-3.15302741206104;3.23544850110813;32.1868074186399
"BZ";"Bizerte";524128;119976;4.36860705474428;150.335878475668;9.84816686000366;-0.538608889431589;4.97849569913983;38.7235780489431
"GB";"Gabes";342630;69703;4.91557034847854;47.8115502368041;14.714706826606;-0.69083267664828;6.00404573691233;46.1113581911826
"GF";"Gafsa";323709;65926;4.91018717956497;41.4596941520018;11.2239696764687;-2.40431992931923;6.80914965264084;43.5973667445317
"JE";"Jendouba";416608;92877;4.4855884664664;134.30303030303;10.1126238574391;-2.38497580459329;2.49577398064106;32.926343443479
"KB";"Kebili";143218;26549;5.39447813476967;6.37814246587544;9.98617492214666;-1.19817341395635;3.3786583298806;50.6987080492674
"KF";"Le Kef";258790;59107;4.3783308237603;50.9328872269238;13.7281193245489;-4.31044476216237;3.04194088686619;33.0231613852843
"KR";"Kairouan";546209;107923;5.06109911696302;82.8292187310445;9.78050526446836;-4.20791308821349;1.72345097893869;29.509001788312
"KS";"Kasserine";412278;79448;5.18928103917028;49.9573467755616;9.73348080664018;-4.10475455881711;1.60482328063639;31.1902124660155
"ME";"Medenine";432503;90000;4.80558888888889;47.1804298025526;11.8676633456878;0.623348277352989;4.69111111111111;49.4566666666667
"MH";"Mahdia";377853;79197;4.77105193378537;132.27970186979;7.35100687304322;-0.648929610192323;3.31957018573936;42.7781355354369
"MN";"Manubah";335912;70750;4.74787279151943;301.997662501124;14.6309152397056;2.89391269141918;6.61342756183746;43.5151943462898
"MS";"Monastir";455590;100967;4.51226638406608;458.197141736481;11.1947145459734;3.72132838736583;7.80849188348668;56.0222647003476
"NB";"Nabeul";693890;162691;4.26507919921815;245.268813403556;9.21601406563;1.0167317586361;6.09560455095857;46.5096409758376
"SF";"Sfax";855256;198565;4.30718404552665;122.90438888817;16.8894459670555;1.33199884011337;7.77428046231713;47.6000302168056
"SL";"Siliana";233985;48448;4.82961112945839;50.4060749676863;12.3178836250187;-4.99690151078061;2.24777080581242;32.6762714663144
"SS";"Sousse";544413;124519;4.37212794834523;239.822120022731;17.5805867971558;4.0158849990724;9.62182478176021;56.7471630835455
"SZ";"Sidi Bou Zid";395506;76771;5.15176303552123;53.6701405851381;8.72603702598696;-3.55443406673982;1.24265673235988;36.6883328340128
"TA";"Tataouine";143524;26575;5.40071495766698;3.69060659826686;13.5175998439285;-1.71051531451186;3.48447789275635;45.79115710254
"TO";"Tozeur";97526;20485;4.76084940200146;17.4374653578644;10.3931259356479;-0.600865410249575;5.04271418110813;43.5635831095924
"TU";"Tunis";983861;244018;4.03191977640994;4064.26494158859;26.3754737711933;-2.76461817268903;14.0129006876542;60.469719446926
"ZA";"Zaghouan";160963;33532;4.80028032923774;56.1453137535317;9.40899461366898;-0.48768971751272;2.70189669569367;37.9428605511154
